Question,Answer,Category
What is The Financial Privacy Rule ?,Financial Privacy Rule under GLBA requires financial institutions to give their customers and/or consumers a clear and detailed notice that accurately reflects the privacy policies and practices of the company. It also allows the consumer the right to opt out of having their information shared with non affiliatedthird parties.,Tuesday
What is the Safeguards Rule?,The Safeguards Rule under GLBA focuses mainly on information security. It requires financial organizations to protect the customerâ€™s information that they collect. Companies must develop a written security plan that describes how they protect the data that is collected.,Tuesday
What is Pretexting?,"Pretexting under GLBA involves collecting information under false pretense. Prohibits financial institutions or customers to use false, fictitious, or fraudulent statements to get customer information.",Tuesday
The penalty for fraudulently obtaining personal information under GLBA?,Up to 5 years in prison and 10k for individuals and 100k for financial institutions.,Tuesday
A ________ is a person who has a business relationship which has been established. A _______ is an individual who has done business with but doesnâ€™t continue to do business with.,Customer/Consumer 9-9/,Tuesday
Who enforces the Do Not Call Registry?,FTC PART 10,Tuesday
What Registry provides consumers with the ability to place their telephone number on a registry? Prohibits telemarketers from calling anyone whose name is on the registry unless they meet certain criteria.,DO-NOT-CALL LIST (DNC),Tuesday
Who created the DNC?,CREATED BY: FCC AND FTC PART 10,Tuesday
"FTC will require all telemarketers subject to its rules to check and update the Registry at least every ______ days, and all documented records must be kept for _____ years.",Must be updated every 31 days and kept for 5 years.,Tuesday
Telemarketers are only allowed to place calls between what times?,8am and 9pm in the time zone specific to where the consumer resides.,Tuesday
A telemarketer may call a consumer for up to ____ months and a customer for up to _____ months.,3 Months/18 Months,Tuesday
DNC rules do not apply to what entities?,"Charities and tax exempt nonprofit organizations, Political campaigns and Callers taking surveys or polls (Canâ€™t have a sales pitch).",Tuesday
What's the 2025 penalty for violating the DNC?,53088,Tuesday
What's the penalty for violating the DO NOT FAX?,"$500 per unauthorized fax. Trebled damages of $1,500 for knowingly doing it.",Tuesday
"Who is a formal interagency body empowered to prescribe uniform principles, standards, and report forms for the 5 banking regulators?",(FFIEC) FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL.,Tuesday
Who are the five banking regulators?,â— Consumer Financial Protection Bureau (CFPB). â— The Office of the Comptroller of the Currency (OCC). â— Federal Reserve Board (FRB). â— The Federal Deposit Insurance Corporation (FDIC). â— The National Credit Union Administration (NCUA).,Wednesday
Why was MARS RULE created?,To protect homeowners who are facing foreclosure from any unfair and deceptive practices associated with mortgage assistance relief services.,Tuesday
What are three things that are illegal under MARS RULE?,Itâ€™s illegal to collect money from a â— customer unless you have a written agreement and both parties agree â— Itâ€™s illegal to tell people they shouldnâ€™t communicate with their lender or servicer. â— It's illegal to tell someone not to pay his or her mortgage 12-2/12-3/,Monday
Who enforces Mars?,CFPB Part 12,Wednesday
Who created Mars?,FTC Part 12,Tuesday
What regulation governs advertising within the mortgage industry. It prohibits deceptive acts in mortgage advertising and other commercial communications?,MORTGAGE ACTS AND PRACTICES (REG N) (MAP),Monday
Who created MAP?,FTC Part 13,Tuesday
"Under MAP, how long must commercial communications be kept?",2 years,Tuesday
What act establishes provisions for requesting cancellation and the termination of PMI?,HOMEOWNERS PROTECTION ACT (HPA),Tuesday
PMI is insurance that protects lenders from the risk of what?,default and foreclosure,Wednesday
PMI requires borrowers who do not put less than ______% down to pay PMI.,0.2,Wednesday
If the borrower is current on their payments they can request cancellation of PMI when their LTV reaches what percent?,0.8,Wednesday
Lenders must remove PMI when LTV reaches?,78% for conforming / 77% for non conforming/high risk and when the mortgage loan reaches its midpoint.,Tuesday
What does the acronym E-Sign Act stand for?,ELECTRONIC SIGNATURES IN GLOBAL AND NATIONAL COMMERCE ACT Part 15,Tuesday
"If there is a change in the hardware or software that is needed to access or retain electronic records, the creditor must then provide the consumer with?",â— Statement of the revised hardware and software required. â— The right to withdraw consent without the issuing of any condition or fee for the withdrawal.,Tuesday
Who created the US Patriot Act?,US Congress Part 16,Tuesday
Who enforces the US Patriot Act?,US Department of Treasury/FinCEN. Part 16,Tuesday
What act was brought about to discourage and punish terrorist activities and gives law enforcement the tools they need to investigate?,US Patriot Act,Tuesday
Under the US Patriot act what requires financial institutions to obtain 5 pieces of information from the customer prior to opening an account and what are the 5 pieces?,Customer Identification Program (CIP) â— Name â— Date of birth â— Address â— SS# or EIN â— Government issued photo I.D,Tuesday
What act requires each financial institution to establish a compliance program and are subject to recordkeeping requirements and It fights against money laundering and financing of terrorism?,The Bank Secrecy Act/Anti Money Laundering (BSA/AML),Tuesday
Under BSA/AML when must a bank electronically file a Currency Transaction Report (CTR)?,"Deposits, withdrawals, money exchange, or other payment/transfer) of more than $10,000 CASH PER DAY.",Tuesday
A completed CTR must be electronically filed with ____? And within_____days after the date of the transaction? The bank must retain copies of CTRs for ____years from the date of the report?,"FinCEN, 15 calendar days, 5 years.",Tuesday
What report must financial institutions file whenever there is a suspected case of money laundering or fraud? These reports help monitor any activity within finance-related industries. And who is it reported with?,Suspicious Activity Report (SAR) and its reported to Financial Crimes Enforcement Network (FinCEN).,Tuesday
Financial institutions must fill out a SAR report if they detect transactions of how much money in someone's account? And how long do they have to report it?,"$5,000 OR MORE and must be filed within 30 calendar days if identifiable and 60 calendar days If not identifiable.",Tuesday
SAR report must be kept for how long from the date of the filing?,5 years,Tuesday
What act monitors the financial stability of major financial firms. The failure of these companies (deemed too big to fail) could have a serious negative impact on the U.S. economy?,Dodd-Frank Act,Wednesday
Who Created the SAFE ACT?,HOUSING AND ECONOMIC RECOVERY ACT (HERA) Part 18,Wednesday
What's the purpose of the SAFE ACT?,"SAFE ACT regulates the mortgage industry on a national level, establishes the minimum standards that must be met for licensure and requires mortgage loan originators be either state-licensed or federally registered.",Wednesday
Who enforces the SAFE ACT?,CFPB Part 18,Wednesday
What is the identifier that permanently identifies a registered or licensed MLO?,Unique identifier,Wednesday
Unique identifiers are required to be disclosed on what?,â— Trust deed â— All disclosures require the MLOâ€™s NMLS number â— Mortgages â— Promissory note â— Advertisements of any kind â— 1003 URLA (loan application),Monday
Immediate family members include?,â— Parents (stepparents) â— Spouse â— Children (stepchildren) â— Siblings (step siblings) â— Grandparents â— Grandchildren â— Adopted family members.,Wednesday
What is the definition of a Mortgage loan originator (MLO)?,"An individual who takes a residential mortgage loan application, offers and negotiates terms of a residential mortgage loan for compensation or gain.",Thursday
"Nationwide Mortgage Licensing System and Registry, or NMLS system, was developed and is maintained by?",The Conference of State Bank Supervisors (CSBS) and the American Association of Residential Mortgage Regulators (AARMR).,Wednesday
Whose role is it to make sure all the proper documentation is organized to send to the underwriter?,Loan processor,Friday
Whose role is to analyze if the borrower can make the necessary monthly mortgage payment and decide if the loan will be approved?,Underwriter,Thursday
Any loan processor or underwriter who is an independent contractor and engages in residential mortgage loan origination activities as a loan originator with respect to any dwelling or residential real estate in the state must?,Obtain and maintain a valid loan originator license from the state.,Wednesday
"For an individual to be eligible for a loan originator license, they can not have been convicted of, or pled guilty to a felony during the period of _____ years preceding the date of the application for licensing.",7-years,Wednesday
"To be eligible for a loan originator license, how many hours is required for pre-licensing education and what is the breakdown?",20 hours â— 3 hours of federal law â— 3 hours of ethics and â— 2 hours of training on nontraditional mortgage products â— 12 electives,Wednesday
"To be eligible to renew a loan originator license, how many hours of annual continuing education is required and what is the break down?",8 hours â— 3 hours of Federal law â— 2 hours of ethics â— 2 hours of training related to nontraditional mortgage products â— 1 hour of electives,Wednesday
"Loan originators licenses expire annually, and must be renewed between what days?",November 1st- December 31st renewal due date.,Wednesday
"Who has legal authority to discipline loan originator licensees with appropriate enforcement actions, such as license suspensions or revocations, cease-and-desist orders, civil money penalties, and consumer refunds for violations of state or Federal law?",A State Supervisory,Wednesday
"Who oversees compliance over the State Authorities, registry of the NMLSR and mortgage schools and courses?",Conference of State Bank Supervisors (CSBS) and the American Association of Residential Mortgage Regulators Mortgage (AARMR),Wednesday
"A licensed attorney performing activities that come within the definition of a loan originator is not required to be licensed, provided that such activities are?","â— Carried out within an attorney-client relationship â— Accomplished by the attorney in compliance with all applicable laws, rules, ethics, and standards",Wednesday
"What agency is responsible for the effective supervision, regulation, and housing mission oversight of the Federal National Mortgage Association (Fannie Mae), the Federal Home Loan Mortgage Corporation (Freddie Mac)?",The Federal Housing Finance Agency (FHFA),Wednesday
What is the penalty for violating the SAFE ACT?,"$36,083 (2025) $35,516 (2024) NMLS states $25K (Know both)",Wednesday
"What report is filed by a company on behalf of its loan originators, shows the condition of the company and must be reported and filed with the NMLS?",The Mortgage Call Report (MCR),Wednesday
When is the Residential Mortgage Loan Activity Report (RMLAR) due? and what is it for?,"Within 45 days after every calendar quarter. Collects information about application, closed loan, individual mortgage loan originator (MLO), line of credit, servicing, and repurchase information by state.",Tuesday
The Mortgage Call Report (MCR) has 2 components to it. What are they?,Residential Mortgage Loan Activity Report (RMLAR) and Financial Condition Report (FCR).,Tuesday
When is the Financial Condition report (FC) due? and what is it for?,"Due annually, within 90 days of the company's fiscal year end and collects financial information at the company level, which means it is not separated by each state. It is the company in whole.",Wednesday
What amendment of the SAFE act mandates that all states implement Transitional Authority(Temporary Authority)?,"The Economic Growth, Regulatory Relief and Consumer Protection Act",Wednesday
How long after the date of the application does an MLO who is changing employment from a depository institution (bank) to a state licensed mortgage company have to be registered with NMLS before using Transitional Authority?,One-year period after the date of the application.,Wednesday
How long after the date of application does a State-licensed MLOs seeking to get licensed in another state have to be licensed as an MLO continuously before using Transitional Authority?,30-day period,Wednesday
Transitional Authority allows MLOâ€™s to originate loans for how many days while completing any state-specific requirements for licensure such as education or testing?,120 days,Wednesday
Who created the Consumer Financial Protection Bureau (CFPB)?,DODD-FRANK ACT and CONSUMER PROTECTION ACT. Part 19,Wednesday
"If a complaint is filed with the CFPB, the company is expected to report back on any steps taken to address the issue or communicate with the consumer to get the information needed for the complaint within how many days?",15 Days,Wednesday
What's the purpose of the Department of Housing and Urban Development (HUD)?,"To provide housing and community development assistance and to make sure everyone has access to â€œfair and equalâ€ housing. To make sure communities have enough housing and any other development assistance they might need. 20-1,",Wednesday
What is the HUD equal access rule?,"It ensures that all individuals, regardless of sexual orientation or gender identity, have equal access to housing assistance.",Tuesday
What are some things HUD is responsible for?,â— Ensure there is enough affordable rental housing â— Strengthening the U.S. housing market â— Improve peopleâ€™s quality of life by improving their housing â— Strengthen communities â— Enforce fair housing laws,Tuesday
Who established the Government National Mortgage Association (GinnieMae) ?,Department of Housing and Urban Development (HUD),Wednesday
Who oversees the Federal Housing Administration and the Fair Housing Act?,Department of Housing and Urban Development (HUD),Tuesday
What does FNMA stand for? And what is it known as?,Federal National Mortgage Association/Fannie Mae,Wednesday
What does FHLMC stand for and what is it known as?,Federal Home Loan Mortgage Corporation (FHLMC)/Freddie Mac,Wednesday
What is the conforming loan limit?,"2025 is $806,500 2024 was $766,550",Wednesday
What are Fannie Mae and Freddie Mac automated underwriting systems called?,Fannie Mae is called Desktop Underwriter(DU) and Freddie Mac is called Loan Product advisor (LPA).,Wednesday
"Do FNMA and FHLMC purchase conforming FHA, VA or USDA loans?","Yes they will purchase FHA, VA (Fix rate only) and USDA (NOT agriculture).",Wednesday
FNMA and FHLMC will NOT purchase mortgages on properties that are not primarily residential including?,Vacant land (or property primarily used for agricultural or commercial purposes.,Wednesday
How far back does FNMA and FHLMC require all credit and public record information to be reviewed?,7 years,Wednesday
"When three credit scores are obtained, which one is chosen?",The middle score,Tuesday
Whatâ€™s another name for Fannie Form 1003 and what is it for?,Uniform Residential Loan Application (URLA) is a loan application designed by FNMA and FHLMC that is used by lenders to obtain personal and financial information from borrowers who apply for a mortgage loan that is secured by a one to four unit residential real estate. (application),Wednesday
What are the 9 sections of the 1003?,1. Borrower Information â—‹ â—‹ 2. Assets & Liabilities â—‹ 3. Real Estate â—‹ 4. Loan Property Information â—‹ 5. Declarations â—‹ 6. Acknowledgements & Agreements â—‹ 7. Military Service â—‹ 8. Demographic Info â—‹ 9. LO Information,Friday
Whatâ€™s another name for Fannie Form 1004 and what is it for?,Uniform Residential Appraisal Report (URAR) is used by an appraiser when preparing an appraisal for a 1-2 family owner occupied residence to provide the mortgage lender with an opinion of fair market value of the property.,Wednesday
Who does Fannie Mae hold responsible for the quality of the appraisal?,The Lender,Wednesday
Whatâ€™s another name for Fannie Form 1005 and what is it for?,Verification of Employment (VOE) allows employers to release information regarding the applicant's past and present employment that is listed on the application (payroll).,Wednesday
Whatâ€™s another name for Fannie Form 1006 and what is it for?,Verification of Deposit (VOD) gives authorization to verify deposits listed on the loan application (bank balances).,Friday
Whatâ€™s another name for Fannie Form 1007 and what is it for?,Single-Family Comparable Rent Schedule is intended to provide the appraiser with a familiar format to estimate the market rent of the subject property.,Wednesday
Whatâ€™s another name for Fannie Form 1008 and what is it for?,Uniform Underwriting and Transmittal Summary summarizes the important information from the loan application. Lenders use this information in reaching the underwriting decision. This form must be retained in the mortgage file for manually underwritten mortgage loans. (summarizes the application),Thursday
Whatâ€™s another name for Fannie Form 1009?,Residential Loan Application for Reverse Mortgages is used as a Loan application for reverse mortgages. (HECM),Thursday
What is the maximum loan term for a conventional mortgage?,30 years,Wednesday
The late charge for a conventional mortgage can be as high as what%?,5% of the principal and interest payment (P&I).,Wednesday
What are the front and back end ratios for conventional?,28/36.,Wednesday
Whatâ€™s the max seller concessions allowed for conventional?,â— 3% if ltv is 90.001% and above â— 6% if LTV is 75.001%-90% â— 9% if LTV is 75% and below â— 2% for investment properties Sales price or the appraised value. (the lower of the two),Wednesday
If the borrower puts down 10% on a conventional loan. Whatâ€™s the max seller concessions allowed for an owner occupied property?,6% if LTV is 75.001%-90%,Wednesday
What is the minimum down payment requirement for Conventional loans?,3% for first-time homebuyers and 5% for everyone else.,Wednesday
Whoâ€™s considered a first time homebuyer under conventional?,At least one borrower must not have had any ownership in a property in the past 3 years (or 36 months).,Wednesday
What % of the down payment amount MUST come from the borrowerâ€™s OWN funds before getting a gift for conventional loans?,5% of the down payment,Wednesday
Conventional mortgage borrowers will be required to pay what if they put down less than 20%?,Private Mortgage Insurance (PMI),Wednesday
What does GNMA stand for and what is it known as?,The Government National Mortgage Association (GNMA) also known as Ginnie Mae.,Wednesday
Who insures FHA and guarantees VA and USDA loans?,The Government National Mortgage Association (GNMA),Wednesday
"Whatâ€™s the late fee for all the government mortgages (FHA, VA, USDA)?",4% of the principal and interest (P&I ONLY),Wednesday
The Federal Housing Administration (FHA) is part of what government agency?,U.S. Department of Housing and Urban Development (HUD),Wednesday
With Federal Housing Administration (FHA) loans. Monthly Insurance Premium (MIP) protects lenders from what?,Protects lenders against losses if a property owner defaults on their mortgage. This will allow the lender to get paid back for the unpaid principal balance.,Wednesday
"With FHA loans, What does MIP stand for?",Mortgage Insurance Premium,Wednesday
How long must the borrower pay Monthly Insurance Premium (MIP) for?,"MIP is for the life of the loan unless the borrower keeps an LTV of 90 percent or less for 11 years straight, meaning you must put 10% down to start and you must hold that LTV for 11 years.",Wednesday
What percentage of the loan amount does the borrower have to pay for UFMIP for FHA?,1.75% of the loan amount.,Wednesday
What is The Federal Housing Administration (FHA) Automated Underwriting system (AUS) called?,Total Score Card,Wednesday
What is The Federal Housing Administration (FHA) front end and back end ratios?,31/43%,Wednesday
What is the maximum amount a seller can contribute towards the borrower's closing cost for an FHA loan?,6% of the lower of the sale price or appraisal price.,Wednesday
What is the required minimum down payment amount for a FHA loan?,â— Credit score of at least 580 = 3.5% down payment â— Credit score between 500 and 579 = 10% down payment â— Credit score under 500 = can not get an FHA loan,Tuesday
"If the borrower is purchasing a home being sold within ______ days, the borrower is ineligible to use an FHA loan",90 days,Wednesday
With a FHA loan If the property is sold within 91-180 days. What is required?,A second FHA independent appraisal is required and CAN NOT be charged to the borrower. If the property is sold 180 days to 1 year is subject to additional review to establish value.,Wednesday
Within how many days of signing the mortgage must the borrower reside on the property with an FHA loan?,60 days,Wednesday
With an FHA loan the borrower can not resell the property for how long?,90 days,Wednesday
"For FHA loans, In order to rent the property as an investment it must be the borrower's primary residence for how long?",At least 1 year,Wednesday
"To prevent potential flipping schemes, FHA requires lenders to look back on the transfer history of a property for the past how many years prior to resale?",3 years,Wednesday
What is a FHA loan 203(b)?,"Basic Fixed Rate Home Mortgage Loan, is the most common of all FHA mortgage insurance programs for one to four unit residential properties.",Wednesday
What is a FHA loan 203(k)?,"Renovation Mortgage Loan, It provides home buyers or homeowners the option to borrow sufficient funds to address both the cost of the property and repairs which are desired or needed. These loans can be a 15 or 30-year fixed-rate mortgage.",Wednesday
What is a FHA loan 203(g)?,"Good Neighbor Next Door Mortgage Loan is offered to law enforcement officers, teachers (pre-Kindergarten through 12th grade), firefighters, and emergency medical technicians. An eligible buyer must commit to live in the property for 36 months as his/her principal residence. HUD offers a substantial incentive in the form of a discount of 50% from the appraised value of the home.",Wednesday
What is a FHA loan 234(c)?,Condominium Mortgage Loans are designed to encourage lenders to extend affordable mortgage credit to those purchasing condominiums. This program ensures a loan for 30 years to purchase a unit in a condominium building.,Wednesday
What is a FHA loan 245?,"Graduated Payment Mortgage (GPM) are designed for those who have lower incomes available to purchase a home and make mortgage payments that will grow along with their earning potential. This mortgage is for people who will be making more money in the future. Think of college graduates. This loan starts off negatively amortized, but as the payments increase each year, it becomes fully amortized by the end.",Wednesday
What is a FHA loan 245(a)?,"Growing Equity Mortgage (GEM) allows homeowners who are interested in further reducing the term of their mortgage to apply scheduled increases in their monthly payments to the outstanding principal balance. This loan starts off fully amortized, but as the payments increase each year, it becomes positively amortized by the end. Resulting in paying the loan off early.",Wednesday
What is a FHA loan 251?,Adjustable Rate Mortgage Loan (ARM) FHA insures home purchases or loan refinances on loans with interest rates that may increase or decrease over time but helps keep the initial costs down.,Wednesday
What is a FHA loan 255?,Home Equity Conversion Mortgage (HECM). A reverse mortgage product that allows seniors age 62 and over to convert equity in their primary residence to cash.,Wednesday
Whatâ€™s the most common FHA Streamline Refinance?,"Non-credit qualifying streamline refinance requires the lender to still check your credit, but they consider fewer factors within your credit report. For a non-credit qualifying refinance, your lender may not need to verify your income. This makes for a faster, easier approval process. No appraisal is required.",Tuesday
What is an Energy Efficient Mortgage (EEM)?,Loans to purchase or refinance homes and make energy-efficient improvements. An energy-efficient mortgage allows you to fully pay for and finance energy-efficient improvements under favorable terms.,Thursday
What is a Temporary 2-1 buydown?,"A mortgage agreement that provides the borrower with a lower interest rate for the first two years of the loan. First year it lowers the interest rate by 2% ,Second year lowers the interest rate by 1%, then goes back to its full note rate by year three. For example, if the note rate is 6%, the first year would be 4%, the second year would be 5%, and the third year it would go back to 6%.",Thursday
What is a Certificate of Eligibility (COE)?,"VA Loans require the borrower to submit a Certificate of Eligibility (COE), It confirms to the lender that the borrower qualifies for the VA home loan benefit and how much their entitlement is or remaining.",Wednesday
"On loan amounts over $144,000, how much does the VA guarantee if a borrower has a full entitlement?",VA guarantees 25% of the loan amount.,Wednesday
What's the front and back end DTI for VA Mortgage?,"Back end of 41% (no front end), which can vary based on residual income.",Thursday
What is Residual income?,Itâ€™s the amount of money which is left over each month after paying your monthly expenses.,Friday
"If the borrower has already used part of their entitlement, the remaining entitlement is based on what?","The county loan limit, this means that if the borrower defaults on their loan, the VA will pay the lender up to 25% of the county loan limit. Take the county loan limits minus the amount of the entitlement that was already used.",Wednesday
What is the VA Loan one-time nonrefundable variable funding fee?,2.15% (3.3% for subsequent),Wednesday
When is the funding fee for VA waived for the Veteran?,â— Surviving spouse â— Disabled veteran â— Purple heart,Wednesday
"With a VA Loan, what is a DD-214?",(discharge papers or report of separation) is required if the veteran has been discharged from the military and is issued by the Department of Defense.,Wednesday
"With a VA loan, what is the NGB form 22?",Is for members of the National Guard who need to prove that theyâ€™ve served for at least six years.,Wednesday
"With a VA loan, what is the NGB form 23?",Is for if the veteran is no longer in the military. It gives proof of where they stand in respect to retirement.,Wednesday
"With a VA loan, what is the Certificate of Reasonable Value (CRV)?","Determines the maximum value of the property. Once the COE is submitted to the lender, the appraisal of the property is ordered and the VA appraiser will provide the Certificate of Reasonable Value to the lender once the appraisal is completed.",Wednesday
"With a VA loan, what is the Notice of Value (NOV)?",The NOV will inform the Veteran about the results of the appraisal report and conditions that must be met for guarantee of the loan.,Wednesday
"The VA allows lenders to charge up to what % of the loan amount to cover origination, processing and underwriting costs?",1% of the loan amount,Wednesday
Borrowers with income of up to what % of the area median may be eligible for 30-year guaranteed loans?,115% of the area median,Wednesday
What's the minimum down payment for a USDA loan?,No down payment/100% financing.,Wednesday
USDA loans do have a one time funding fee of what %?,1% that is paid at closing or can be included in the loan.,Wednesday
What is the max debt-to-income ratio for USDA?,29% front end/41% back end,Wednesday
What is the USDA Automated Underwriting System (AUS) called ?,Guaranteed Underwriting System (GUS).,Wednesday
What is an appraisal?,Itâ€™s a rough estimate of how much the home is worth. Mortgage lenders require that an appraisal be completed prior to signing on a home loan. The appraisal assures the lender that they arenâ€™t lending more money than what the home is worth.,Wednesday
What is an appraiser?,"A person that develops an opinion of the market value or other value of a product, most notably real estate. An appraiser must be licensed or certified by the State in which the property to be appraised is located.",Wednesday
"An appraisal is valid for _____ months and if the appraisal is ______months or more old, then it must be recertified. If an appraisal recertification is needed, a _____ recertification form is required.","6 months, 4 months, 442 recertification form.",Wednesday
What is an appraisal contingency?,A contingency in a sales contract that the property must appraise at a value that is equal to or greater than your offering price.,Wednesday
What are the three common methods an appraiser will use to determine value?,â— Sales comparison approach (Market approach) â— Income approach (Capitalization) â— Cost approach,Wednesday
What method is used in the real estate industry that compares one property to similar ones recently sold in the area?,Sales comparison approach (Market Approach) 23A-1A,Wednesday
What's the minimum amount of comparison properties an appraiser has to use? They have to be sold within the past how many months? The comparison must be within how many miles of the subject property?,3 comparisons that have sold within the last 6 months and have to be within 1- 3 miles of the subject property. 23A-1B,Wednesday
"Lenders typically require that any adjustments that exceed ____% line, _____% net, or ______% gross must be explained and reconciled in the report to show the need for such dissimilar comparables.","10%, 15%, 25% 23A-1C",Wednesday
"After the appraiser selects the comps, they compare them all to each other. They then make adjustments based on differences in what?","Upgrades, size, features, sales date, and more. They then calculate the adjusted value for the subject property that reflects the homeâ€™s true value. 23A-1D",Wednesday
What is the Principle of Substitution?,"Itâ€™s the maximum value of a property usually established by the cost of acquiring an equivalent substitute property that has the same use, design, and income.",Wednesday
What is income approach?,Estimate the value of a property based on the income the property generates and other factors. Itâ€™s used by taking the net operating income (NOI) of the rent collected and dividing it by the capitalization rate. 23A-2A,Wednesday
What is the cost approach?,Itâ€™s the method used in the real estate industry that estimates the price a buyer should pay for a piece of property which is equal to the cost to build an equivalent building. 23A-3A,Wednesday
When dealing with vacant land when would appraisers use a cost approach?,When there is a home being built within the first 2 years. 23A-3B,Wednesday
What is Appraiser Independence Requirements (AIR) commonly known as?,Home Valuation Code of Conduct (HVCC),Wednesday
Mortgage brokers are unable to choose an appraiser on what types of mortgages? And what act is it under?,The Dodd Frank Act has since extended this enforcement to include all mortgages.,Wednesday
The appraiser independence requirements (AIRs) were designed to prevent what?,"Attempting to influence the development, reporting, result, or review of an appraisal through coercion, extortion, collusion, compensation, inducement, intimidation, bribery, or in any other manner.",Wednesday
What is Amortization?,Itâ€™s the length of time it takes to pay off a mortgage in full. Itâ€™s an estimate based on the interest rate for the loan.,Wednesday
What is an Amortization Schedule?,The amortization schedule shows how much in principal and interest is paid overtime.,Wednesday
"What type of Amortization is where borrowers repay a portion of the loan principal each month. As a result, the loan balance drops with each payment?",Positive Amortization,Wednesday
"What type of Amortization is where borrowers pay off their balance based on the loanâ€™s amortization schedule, which means that the borrower will pay off their loan at the end of the loanâ€™s term?",Fully Amortizing Loan,Wednesday
What type of Amortization is the balance between the fully amortized and interest-only loan. Part of the payment will cover some of the principal balance and the rest will cover the interest charges?,Partially Amortized,Wednesday
What type of Amortization is interest only payments for a set period of time. Not all interest-only mortgages work in the same way. Requires a balloon payment for the entire principal amount after the interest only payment term expires?,Non Amortized,Wednesday
"What type of Amortization is when a borrower pays less than the interest due, so the loan amount actually increases, therefore requiring additional payments to bring it to a zero balance?",Negative Amortization,Wednesday
What is a lien?,"A lien is a claim or legal right against assets that are typically used as collateral to satisfy a debt. The lien essentially gives the creditor, who is also the lienholder, the ability to claim the property if they donâ€™t pay their debt to them.",Thursday
What is a Senior lien?,A Senior lien is considered to be the first and primary mortgage on a property. This amount will be paid first and only tax liens can potentially interfere.,Thursday
What is a Junior lien?,Is a mortgage that is subordinate to a senior lien. Also known as a second mortgage. There is an unlimited possible number of junior liens and no restrictions on terms.,Thursday
What is a voluntary lien?,A Voluntary lien requires consent and is a condition of getting a loan (mortgage).,Thursday
What is an involuntary lien?,"Can be put on a property without consent. For example, your property might have an involuntary lien if youâ€™ve failed to pay property taxes or you didnâ€™t pay a contractor.",Thursday
What is a Mortgage lien?,A Mortgage lien is a voluntary liens because you agree to the lien as part of the loan. It gives a creditor a claim to your home until your mortgage loan debt is paid off.,Thursday
What is a Tax lien?,"A Tax lien is involuntary liens placed against your property if you fail to pay taxes owed. Tax liens will take priority over all other liens, even if another lien was in place already.",Thursday
What is a Mechanicâ€™s lien?,A Mechanicâ€™s lien is an involuntary lien placed by a mechanic or other contractor if you fail to pay for services performed.,Thursday
What is a Judgment lien?,A Judgment lien is any involuntary lien placed on the homeowners property by a judge when someone wins a lawsuit against them.,Thursday
What is a HOA lien?,"HOA liens are involuntary liens placed if the homeowner fails to pay homeowners association dues, the HOA may ask a court to issue a judgment granting it a claim against the borrower's home",Thursday
What is an Attachment lien?,"Attachment liens are involuntary liens that are placed on the homeownerâ€™s property during a legal matter, as in a divorce or bankruptcy which prevents the property from being sold during the duration of the proceedings.",Thursday
What is the document that shows ownership of property rights of an individual or business called?,Title,Thursday
All personal property that is sold or traded must be _____ before the property can be transferred to another party.,Free of liens and other debts (Clean title).,Thursday
What are 3 types of Primary forms of concurrent real estate ownership?,â— Tenancy in common â— Tenants by entirety â— Joint tenancy,Friday
"What form of concurrent real estate ownership holds title, individually, for their respective piece of the property. Each individual can transfer, sell or will their part?",Tenancy in common,Friday
"What form of concurrent real estate conveys ownership to a legally married husband and wife, treating the couple as one individual. If one spouse dies, the title is transferred to the living spouse in entirety?",Tenants by entirety,Thursday
"What form of concurrent real estate involves two or more individuals holding a real estate title jointly, where both individuals have equal rights to the property during their lifetime. With this type of ownership, the holder cannot transfer, sell, or will their part?",Joint tenancy (Can't sell the Joint),Friday
"What is performed by a title company to make sure that there are no issues, liens, or back taxes on the title that would prevent the asset? sale of the",A Title search,Thursday
What is a Chain of title?,The historical transfer of ownership from the first owner back to the last owner in chronological order.,Thursday
What is an Abstract of title?,"A record of the title history including transfers, liens, and legal actions that are connected to the property.",Thursday
"What document lists all the liens, defects, and obligations that affect the subject property and provides the requirements that must be met before a title company can insure a title as marketable.",A title commitment binder,Thursday
What is a Marketable title?,"A title free from reasonable doubt or defect, which can be readily sold or mortgaged. A marketable title may have certain encumbrances that a buyer would be willing to accept.",Thursday
What does it mean to have Clear title?,It means that the owner has an undisputed claim to the property or asset and is clear of all liens.,Thursday
What is Color of title?,"Color of title is a title to real property that may have the appearance of a good and valid title to a parcel of property, but in reality it contains a title defect, and cannot transfer or convey ownership. It's shady!",Thursday
What is Legal title?,Legal title refers to the actual ownership of real property. A borrower who has legal title has the right to transfer ownership of the property or sell the property to another party. (Borrower holds legal title in mortgages)(Trustee holds legal title in Trust Deeds).,Thursday
What is an Equitable title?,"Equitable title is associated with a borrower's financial interest in the property. A borrower may have equitable title to a property that they have invested in, while the Trustee actually holds legal title to that same property.",Thursday
What is used in a legal action taken to clarify ownership of a given property. Can also be used to solve boundary issues or to remove any clouds on the title?,Quiet title action,Tuesday
What protects the owner of the property and the mortgage lender against defects or any future claims in the title to the property that happened prior to the time of sale?,Title Insurance,Thursday
"When it comes to titles, what is a Simultaneous Issue?",Simultaneous Issue is done in conjunction with the issuance of the owners and the lenders title policies when it is purchased at the same time.,Thursday
